real_name,TR1,STOR1
BASE,9.79948,0.000118968
20,10.0545,0.000132533
15,9.72308,0.000111295
32,12.131,0.000101969
17,12.9948,8.81693e-05
33,9.93036,8.42372e-05
35,9.25999,7.76435e-05
42,8.38348,0.000182065
25,10.9274,7.46999e-05
22,12.9949,7.03407e-05
36,10.9305,0.000126138
1,10.4336,5.8097e-05
38,9.80568,7.64258e-05
0,11.1819,0.000102781
2,14.5399,2.24914e-05
3,6.74844,0.000459354
4,9.4875,0.000120012
5,11.9365,6.00058e-05
6,15.3261,3.11763e-05
7,7.96484,0.000244535
8,9.51219,0.000103975
9,10.3043,0.000229108
10,11.3374,7.1866e-05
11,10.039,0.000125757
12,10.6979,0.000123947
13,8.41817,0.000187564
14,6.38272,0.000401078
16,6.66729,0.000313878
18,11.4185,7.11563e-05
19,11.7582,5.38175e-05
21,8.03152,0.000207703
23,10.6383,0.000116917
24,6.31036,0.000510973
26,8.31594,0.000145341
27,9.35978,0.000155714
28,11.4737,8.34364e-05
29,8.15321,0.000166128
30,12.0107,4.27307e-05
31,9.61436,0.000129431
34,9.00888,0.000107342
37,8.79516,0.00020741
39,10.4997,8.90837e-05
40,13.787,2.05986e-05
41,12.0075,8.5483e-05
43,8.92324,9.76198e-05
44,8.7215,0.000130618
45,11.1633,8.66953e-05
46,12.957,4.48663e-05
47,13.0804,3.5808e-05
48,9.23845,0.000104875
