real_name,OBS_1_1,OBS_1_2,OBS_1_3,OBS_1_4,OBS_1_5,OBS_1_6,OBS_1_7,OBS_1_8,OBS_1_9,OBS_1_10,OBS_2_1,OBS_2_2,OBS_2_3,OBS_2_4,OBS_2_5,OBS_2_6,OBS_2_7,OBS_2_8,OBS_2_9,OBS_2_10
BASE,3.12447,3.7516,4.12923,4.40028,5.84103,2.70504,2.54485,2.26486,1.05323,0.436796,2.54736,3.17499,3.55287,3.82405,5.09634,2.65339,2.49323,2.20083,1.05296,0.436779
20,2.97176,3.57868,3.94499,4.20816,5.63375,2.60718,2.45129,2.18487,1.0248,0.425067,2.41005,3.01747,3.38403,3.64734,4.90902,2.55691,2.40105,2.1226,1.02451,0.425048
13,3.00833,3.6985,4.12404,4.43249,6.32997,2.91376,2.72704,2.45732,1.22587,0.509174,2.33491,3.02538,3.45127,3.75996,5.46141,2.8535,2.66684,2.38316,1.22528,0.509135
31,3.09096,3.72672,4.11082,4.38688,5.89383,2.72673,2.56305,2.2859,1.07598,0.446324,2.50113,3.13741,3.52177,3.79798,5.13283,2.67395,2.51029,2.22053,1.07567,0.446304
15,3.19517,3.83677,4.22313,4.50046,5.97528,2.76716,2.60325,2.31693,1.07767,0.446935,2.60466,3.24678,3.63339,3.91085,5.2133,2.71431,2.55043,2.25141,1.07739,0.446917
32,2.79592,3.34839,3.68042,3.91856,5.16286,2.39248,2.252,2.00157,0.923699,0.383032,2.2899,2.84282,3.17506,3.41331,4.50986,2.34719,2.20674,1.94539,0.923478,0.383018
17,2.77857,3.25721,3.54131,3.74405,4.6461,2.16411,2.04594,1.7984,0.777631,0.32222,2.35337,2.83229,3.1165,3.31929,4.09691,2.12602,2.00786,1.75098,0.777533,0.322214
33,3.43619,4.06592,4.44148,4.71,5.99827,2.78767,2.63045,2.3235,1.0343,0.428694,2.87022,3.50039,3.87613,4.14474,5.26754,2.73699,2.57979,2.26049,1.03412,0.428683
35,3.63952,4.30976,4.70966,4.99562,6.37541,2.96241,2.7949,2.46973,1.10192,0.456734,3.03651,3.70722,4.10731,4.39338,5.59688,2.90842,2.74093,2.40261,1.10173,0.456722
42,3.04134,3.7364,4.16454,4.47477,6.37481,2.93498,2.74737,2.47467,1.23179,0.511599,2.36473,3.0601,3.48861,3.79907,5.50214,2.87444,2.68689,2.40014,1.2312,0.51156
25,3.26992,3.83674,4.17333,4.41356,5.49093,2.55705,2.41697,2.12557,0.921797,0.381967,2.76586,3.33301,3.66973,3.91003,4.83991,2.51191,2.37183,2.06937,0.921677,0.381959
22,2.95454,3.44069,3.72843,3.93354,4.79284,2.23605,2.11681,1.85416,0.784778,0.325128,2.52564,3.01202,3.29986,3.50501,4.23873,2.19762,2.07839,1.80628,0.784698,0.325123
36,2.85328,3.41103,3.74582,3.9858,5.22489,2.42226,2.28087,2.02538,0.9298,0.385532,2.34402,2.90221,3.2372,3.47729,4.56764,2.37668,2.23531,1.96882,0.929588,0.385518
1,3.63974,4.25324,4.61688,4.87623,5.99829,2.79609,2.64512,2.32119,0.993551,0.411655,3.09661,3.71043,4.0742,4.33362,5.2967,2.74744,2.59648,2.26059,0.993438,0.411648
38,3.52689,4.18625,4.58019,4.86206,6.24599,2.90063,2.73531,2.42001,1.08747,0.450782,2.93167,3.59151,3.98565,4.26762,5.47759,2.84734,2.68204,2.35379,1.08727,0.450769
0,2.97748,3.53087,3.86132,4.0977,5.25049,2.43886,2.30029,2.03417,0.911545,0.377844,2.47859,3.03237,3.36299,3.59946,4.60642,2.39419,2.25564,1.97865,0.91138,0.377833
2,3.50875,3.94998,4.20883,4.39271,4.86108,2.28796,2.18194,1.87407,0.698128,0.289082,3.12781,3.5691,3.82798,4.01186,4.3685,2.2538,2.14778,1.83141,0.698111,0.289081
3,2.52491,3.20458,3.66016,4.00349,6.76142,3.07008,2.83947,2.6214,1.50389,0.629021,1.6998,2.37137,2.82591,3.16918,5.68574,2.99536,2.76498,2.53227,1.50156,0.628866
4,3.18087,3.81685,4.19963,4.47432,5.9283,2.74588,2.58362,2.29861,1.0669,0.442453,2.59629,3.2328,3.61582,3.89065,5.17397,2.69356,2.53133,2.23373,1.06663,0.442436
5,3.22063,3.75257,4.06749,4.29199,5.23735,2.44311,2.31257,2.02622,0.859119,0.355931,2.75108,3.28329,3.5983,3.82285,4.63074,2.40104,2.27051,1.97381,0.85903,0.355925
6,3.1368,3.5463,3.78671,3.95753,4.43466,2.08479,1.98623,1.71052,0.648936,0.268723,2.78266,3.19223,3.43266,3.60349,3.97676,2.05304,1.95448,1.67086,0.648916,0.268722
7,2.8347,3.53226,3.97158,4.29296,6.44625,2.95517,2.75607,2.50315,1.30529,0.542975,2.11678,2.81373,3.25336,3.57501,5.51954,2.89086,2.69185,2.42456,1.30435,0.542914
8,3.33985,3.98542,4.37243,4.64971,6.06357,2.81231,2.64915,2.3502,1.07308,0.444906,2.75222,3.39829,3.78552,4.06292,5.30512,2.75971,2.59657,2.2849,1.07284,0.444891
