real_name,OBS_1_1,OBS_1_2,OBS_1_3,OBS_1_4,OBS_1_5,OBS_1_6,OBS_1_7,OBS_1_8,OBS_1_9,OBS_1_10,OBS_2_1,OBS_2_2,OBS_2_3,OBS_2_4,OBS_2_5,OBS_2_6,OBS_2_7,OBS_2_8,OBS_2_9,OBS_2_10
0,3.04223,3.94604,2.31398,4.914,5.62174,2.86935,1.71982,2.56085,2.09368,0.440698,3.79455,2.69652,2.568,4.54623,4.47685,4.14071,1.66781,-0.360029,0.14927,-0.109314
1,4.20784,3.18255,3.70278,4.79294,5.71469,4.8145,2.17676,1.97487,-1.26323,-0.628867,2.55845,4.69839,4.97177,4.81088,4.85885,4.17035,2.69439,3.20796,1.47748,0.869412
2,3.83436,3.68336,2.49938,6.22978,5.22214,3.1755,1.96537,2.93075,0.93452,0.579868,3.24403,4.78064,4.78811,4.9638,3.05206,3.8267,1.04216,2.33549,-0.077544,-1.28416
3,4.31284,2.07166,2.70561,2.86641,7.31847,1.97778,3.30261,2.14946,2.02245,0.757115,1.58253,3.1669,1.53342,4.27478,5.34534,3.10983,2.77208,5.11538,1.3104,-2.77417
4,5.05086,1.7165,5.2408,4.76372,5.83477,3.11047,1.46661,3.68089,0.638065,1.35658,2.26178,3.36944,4.00533,3.31598,4.46747,3.53699,1.81979,2.40327,2.39512,-2.02254
5,2.87329,3.43159,3.57682,5.81052,5.85557,4.02923,2.45652,2.05412,-0.573874,0.712146,3.40519,2.92711,3.97124,3.61394,3.32769,2.59573,0.959663,2.14519,1.42462,0.55962
6,4.73169,3.42347,4.26169,3.80843,4.15426,1.80533,2.16408,1.67467,0.907826,-1.94349,3.63012,2.26224,4.08251,5.06058,3.55298,1.71043,1.97238,3.2603,2.56424,-0.656683
7,2.79355,1.94211,5.07202,4.42877,6.11701,2.27505,2.26554,3.24408,0.811361,1.11055,2.75702,2.11757,3.44596,3.84604,6.61665,2.52824,2.52758,1.83084,2.02126,0.280741
8,2.6038,3.37892,5.60502,4.32551,5.1315,2.95391,4.36279,3.41325,2.36266,-0.418938,3.63564,4.41055,3.5353,3.79645,5.03948,2.08607,2.94752,1.6953,1.98807,-0.0716279
9,5.01224,2.87722,4.43152,4.1156,6.72086,1.91788,2.29943,1.87475,0.121904,-0.85489,3.1477,1.88107,2.3678,3.4889,4.78762,1.45835,1.0911,3.1538,0.473825,0.866411
10,2.89467,3.86204,5.31747,3.7228,5.13426,2.31207,3.11637,1.82122,1.03866,0.317468,1.8038,3.00898,2.73736,5.22389,4.35476,2.67858,1.79368,3.95478,-0.441366,-0.161617
11,3.08393,4.00453,3.60113,6.81193,3.57109,5.54106,1.37068,1.49135,1.10136,2.99825,1.79216,4.00717,2.46773,2.70797,5.72302,2.70239,3.47763,0.964847,1.6573,-0.491879
12,3.06636,4.4969,3.23782,4.83255,4.71781,0.119418,0.91063,2.30016,2.52423,1.24472,1.38522,2.83424,3.18149,4.58771,5.87478,2.87633,1.1601,2.26202,2.11722,-0.0372115
13,4.0755,3.23185,2.88689,4.4248,5.54492,3.05369,1.29486,2.75474,1.98196,0.162046,3.05772,3.3027,3.88531,2.88134,7.15886,4.32965,2.1341,1.47288,1.84761,-0.445515
14,3.65,3.36204,3.83071,5.17606,6.68831,3.87637,1.85488,4.402,4.38749,0.190726,1.82061,2.04007,3.09571,3.24528,5.75767,4.20443,3.17432,2.57078,-0.544748,0.299162
15,3.41351,3.19821,4.17719,4.60243,5.91136,3.64354,3.17786,1.57827,1.80372,0.195086,3.51773,2.79641,2.3389,5.06039,5.21223,2.08237,4.06568,2.15117,0.579872,-2.31729
16,2.67298,5.1656,4.3832,3.82409,8.06331,3.18865,1.35005,1.23588,1.16566,2.21298,1.4447,2.46888,4.73611,4.70884,5.33484,2.11406,2.11089,4.0617,1.23175,-1.27451
17,3.13915,2.71304,3.23646,5.37394,3.31073,1.94775,1.98014,2.40749,1.01687,1.35056,1.95143,4.232,2.11337,3.6051,5.16108,1.08381,3.36815,0.923009,1.03003,0.30295
18,3.13636,4.27088,3.49757,3.45023,5.22536,3.44699,2.17026,-0.299816,-0.436265,0.639191,3.61029,2.28288,3.88499,5.48305,4.51034,3.71755,3.43544,2.42606,2.07876,2.20441
19,2.86326,3.07482,4.60699,6.51266,6.01653,2.33179,1.16036,1.94816,-0.0459465,-0.866668,3.56716,2.86035,4.08985,4.54573,5.70586,1.9422,1.94955,1.07145,1.42365,0.952595
20,2.66098,1.82033,5.39956,4.64829,5.48273,2.43746,2.29561,-0.338047,2.30553,-0.26754,2.89953,3.5136,3.47306,3.39699,4.72278,2.74716,3.93857,2.90579,1.17611,0.813763
21,2.99319,4.16159,3.46094,4.09848,6.32,2.3592,3.89316,2.50915,1.73005,0.436258,3.06237,2.32083,3.86537,3.95563,5.07586,4.14921,2.40284,3.21899,1.30597,1.16378
22,3.38358,2.90727,3.09185,5.69274,3.29503,1.62186,2.76965,3.4685,0.0560012,0.819462,2.56292,2.79847,2.77295,3.94707,5.94981,3.36609,1.70978,1.59404,-1.17548,-1.42229
23,3.71575,2.8308,3.67701,3.50181,5.41946,2.12131,1.71338,1.78523,0.595104,0.344307,4.07324,2.9527,3.14382,3.6217,4.34741,3.29441,3.8131,2.57567,0.951785,3.03941
24,3.47144,2.51684,3.47576,5.30417,7.95141,3.89838,2.44269,1.78644,2.7036,-1.26755,1.64466,3.53017,0.723643,2.9809,5.14525,2.79688,1.75025,3.95123,1.78043,-0.640985
25,3.27958,3.79967,5.40448,3.6435,6.34336,3.46644,2.23695,3.33433,-0.525876,-0.777137,1.90556,4.79922,3.12108,4.07285,3.98577,2.2097,1.41216,1.87288,0.9589,0.0699042
26,3.07492,2.89807,5.03256,4.38476,6.75465,3.55128,3.80385,3.09438,0.387341,0.314566,3.60541,2.66184,4.56389,3.66158,4.62623,2.84836,1.91053,1.96033,0.508551,1.63552
27,2.92298,3.68297,6.01643,4.3986,6.66968,2.50922,1.92615,2.08268,2.04328,0.0403895,1.52813,3.00415,4.36502,1.54616,4.98931,2.3474,2.80847,1.92004,-0.829958,-0.338695
28,2.3753,2.64526,5.17005,2.60149,5.12945,3.77389,2.05635,1.09443,2.42629,1.34704,2.81233,3.91882,5.20784,4.54274,4.58561,2.81637,0.644479,1.87654,1.67647,0.504492
29,3.19897,2.69779,4.38614,4.85381,6.59465,2.96186,1.31493,3.53895,1.90867,-0.821459,4.53738,2.28997,4.67972,3.29568,6.40282,3.60801,2.37075,2.40294,2.47143,-1.18131
30,4.71049,3.78437,5.10707,4.20917,5.02483,1.76512,1.8639,2.88662,1.55706,1.76548,2.60724,0.822308,3.7058,3.78615,3.43885,2.67569,3.23078,1.30433,2.9338,-0.102134
31,3.45556,4.44663,4.7069,4.0098,5.56557,3.88879,1.90246,2.53744,0.4408,0.724245,1.93453,3.91381,2.85879,3.71419,5.11877,3.06998,0.782264,2.90945,2.12045,0.0781347
32,1.92853,3.3661,3.75997,4.92329,4.88358,1.68044,2.74908,2.95893,0.093839,-0.309674,2.01806,2.99382,3.06733,4.02174,5.705,0.597527,1.53955,2.4978,1.78112,1.708
33,4.36262,4.57166,4.48409,6.17175,7.35779,2.64388,2.63413,2.6926,0.832868,-0.247769,4.11414,3.12307,3.14988,2.16645,5.39231,0.372922,1.55482,2.44225,0.683735,0.406854
34,2.44396,3.50632,6.23394,1.77775,6.19189,3.88956,2.6261,3.12287,1.20231,0.587614,3.48454,3.93192,5.17988,4.46153,5.21757,3.42936,2.72101,1.35005,1.76652,1.86179
35,2.02683,2.80346,5.17646,6.34806,7.02583,3.27177,2.55803,3.08886,3.12688,-1.17936,4.5551,4.64684,5.06805,3.40419,4.4139,2.66404,1.20915,2.31307,1.4073,2.38516
36,2.85577,1.76915,3.84756,3.47864,7.03545,1.81306,2.73422,1.75546,0.203884,0.206718,4.72091,3.18755,3.42747,2.42714,4.89283,1.74751,2.46924,1.19395,0.112982,-0.938942
37,2.34716,2.63397,4.26478,3.6973,6.29764,2.98775,2.66869,2.79057,1.30552,0.264191,3.52331,3.1156,4.44249,1.92617,4.59004,2.72524,1.82305,3.39728,1.3121,1.25714
38,4.06624,3.41781,5.3021,5.71041,5.78396,2.45481,2.75913,2.95472,1.32192,0.694132,2.98393,3.0508,5.44406,2.85501,5.34063,2.64056,2.6915,2.68005,2.99069,-1.26285
39,2.9382,4.38966,2.23263,4.71131,5.36868,3.02594,1.54344,1.13107,-0.691174,-0.446602,0.894928,3.14436,5.08399,3.62915,4.92959,2.41534,4.78969,4.03817,1.27542,-0.1622
40,3.58298,2.85969,4.00947,5.21287,4.82907,4.57755,3.02686,3.50353,0.523684,2.23002,3.39782,2.67134,3.36454,4.00366,4.8008,1.70818,2.47263,2.00312,1.22191,-1.50099
41,1.5542,2.27561,2.68731,4.73275,4.40844,1.84707,3.5131,0.756637,-0.439168,0.053173,3.04171,3.92347,5.3906,4.63736,5.54075,2.17116,3.3849,2.14245,1.27164,1.27436
42,4.87467,3.22092,4.34318,2.9047,6.38957,2.58024,2.09696,2.2117,0.860043,0.667286,1.48297,3.28739,3.94265,4.15688,6.13436,3.15148,3.00087,1.92257,1.98275,0.964559
43,3.90432,4.73863,4.96507,5.65854,4.4691,3.02129,3.55542,3.60348,1.54624,1.57247,3.49834,3.92755,3.20177,3.55281,5.66198,3.57124,4.56694,1.66457,2.67297,0.900061
44,0.558282,5.01284,5.10098,6.41092,6.34485,4.12145,2.94533,1.44576,-0.142188,-0.368449,1.38788,3.61401,4.79815,3.21546,4.81756,3.21648,1.66418,4.799,0.54339,-0.311712
45,3.79712,2.86319,3.1467,3.37243,6.37372,1.98395,3.10191,3.37794,1.079,-0.448958,3.03069,4.00296,3.50484,4.86713,5.46327,0.662713,1.20304,2.43904,-0.334331,-0.241807
46,1.65351,3.30142,3.7357,6.10289,4.97943,1.19582,2.42722,3.752,0.907215,0.0697746,2.69415,3.57526,4.81618,4.97835,4.49317,2.06224,1.50058,0.714836,1.02492,2.19684
47,3.5716,3.14513,5.24717,3.85567,4.95219,0.956332,3.50558,0.717856,2.13906,1.09154,2.91778,5.00671,4.96432,4.70313,5.37132,1.86812,1.507,2.34318,0.811512,2.10035
48,3.23439,4.28341,4.09624,4.57477,6.51688,3.54538,2.34721,3.0626,0.717969,0.0157069,2.7281,3.75406,4.93248,3.77142,5.58606,1.71269,3.28111,1.43709,1.33242,2.18779
BASE,3.18862,3.81151,4.18537,4.45335,5.836,2.70564,2.54777,2.26226,1.03821,0.430482,2.61998,3.24337,3.61744,3.88555,5.10212,2.65474,2.49689,2.19909,1.03798,0.430467
