iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,BASE
0,50,6771.7,23371.9,26.9553,141822,52.9746,5253.38,51.1812,559.853,183.833,183.177,1007.14,130.458,41380.7,3304.1,172.089,85.4163,120.557,120.005,58450.1,126.5,199.945,109.412,150.535,146.864,149.51,1406.9,141.515,113.456,57.6765,178.297,197.043,1406.9,9205.69,60351.5,165.283,141822,194.469,160.949,184.658,2924.73,5990.35,125.023,156.673,26.9553,199.882,187.549,89.6441,643.582,96.487,60.5786,91.4436,132.668,275.353,59.94
1,196,133.464,95.134,18.7704,507.003,49.1867,43.8533,46.1053,171.778,181.092,180.082,88.5349,92.476,444.964,507.003,169.093,66.3872,117.008,73.066,35.2327,116.889,199.053,103.759,144.749,144.189,146.44,157.824,78.7903,76.4778,52.8503,173.717,195.058,144.226,38.9993,31.0789,163.12,113.491,193.726,156.233,180.715,363.44,44.5029,115.811,149.382,18.7704,198.639,185.948,83.081,121.517,86.0268,55.3613,85.9647,84.2885,147.139,56.0927
2,342,59.4475,48.5879,1.11178,174.104,22.6279,11.6811,14.9555,57.1564,105.788,109.486,48.552,45.8331,154.74,165.96,92.4141,26.2058,38.8987,45.0868,18.37,50.4533,162.519,38.6563,43.8472,44.649,44.2614,26.5915,46.0682,27.4648,59.0878,86.3869,143.941,33.1223,16.6937,7.76086,83.8705,18.695,164.337,41.1044,90.908,118.824,22.6548,32.9171,37.1713,1.11178,174.104,138.07,31.7872,16.5138,82.8612,29.2786,15.5337,20.2604,47.6351,15.4768
3,488,18.8804,21.9589,0.00469795,92.8719,4.82491,5.23539,0.800981,24.7349,8.19393,12.3599,2.57975,17.423,43.0391,83.799,4.21517,8.96827,20.5991,12.2066,18.4542,23.2145,67.1056,13.5614,27.717,7.35873,4.32156,22.7235,4.42913,8.23599,16.7361,23.4433,44.12,13.4659,1.9969,11.9856,3.88648,7.25079,79.321,9.06029,9.52764,4.04285,5.69409,19.0694,49.824,0.633187,92.8719,40.8426,10.7685,21.3894,5.23848,4.69976,0.00469795,3.16336,15.0443,3.83902
4,634,3.22411,4.4408,0.00775839,19.928,2.11806,0.348964,3.19446,8.33113,0.73177,0.716629,5.71709,1.52098,0.280663,14.5186,0.468778,0.87867,1.83385,0.784787,6.12827,0.267284,19.928,6.16626,1.24921,1.12319,1.05685,0.696667,4.78402,1.55228,9.97242,0.081316,13.4314,0.659317,1.74752,0.726251,1.47523,0.401222,12.3951,0.00775839,2.09578,5.34737,2.81648,1.24404,0.519536,0.187925,11.6673,3.86564,0.856282,0.281959,0.762858,1.44416,2.43873,2.06163,0.0378325,0.283798
5,780,2.09949,2.18505,0.0224329,8.28137,1.75596,1.14617,3.06103,6.41121,0.0805094,1.02092,6.21271,1.85901,0.251316,6.55175,0.579171,0.469924,1.71347,0.943829,7.50252,0.0224329,6.29691,6.4854,0.666907,0.647552,0.7181,1.5615,4.50975,1.21296,8.28137,0.223539,1.80557,0.493205,1.3263,1.73246,0.860218,0.154693,4.64797,0.320145,1.18987,2.77273,2.4844,1.2423,0.987614,0.100361,2.3092,2.8363,0.980919,2.17803,1.02587,0.868307,1.98676,1.69156,0.701428,0.0922726
6,926,1.91221,1.96066,0.0251661,8.05173,1.55121,1.73069,3.18676,6.38725,0.0251661,1.06961,6.14645,1.96395,0.381417,3.3313,0.558531,0.315701,1.58835,0.89319,7.73461,0.0598849,3.43188,6.27018,0.552285,0.726005,0.553662,1.71614,4.07478,1.05867,8.05173,0.371977,0.886958,0.420981,1.11544,1.92776,0.708794,0.078755,2.92902,0.608723,1.15566,2.78766,2.28152,1.22357,1.58584,0.122022,1.48187,2.21708,0.951679,2.87757,1.22413,0.670383,1.75171,1.81681,1.02287,0.0321949
7,1026,1.91221,1.96066,0.0251661,8.05173,1.55121,1.73069,3.18676,6.38725,0.0251661,1.06961,6.14645,1.96395,0.381417,3.3313,0.558531,0.315701,1.58835,0.89319,7.73461,0.0598849,3.43188,6.27018,0.552285,0.726005,0.553662,1.71614,4.07478,1.05867,8.05173,0.371977,0.886958,0.420981,1.11544,1.92776,0.708794,0.078755,2.92902,0.608723,1.15566,2.78766,2.28152,1.22357,1.58584,0.122022,1.48187,2.21708,0.951679,2.87757,1.22413,0.670383,1.75171,1.81681,1.02287,0.0321949
8,1126,1.91221,1.96066,0.0251661,8.05173,1.55121,1.73069,3.18676,6.38725,0.0251661,1.06961,6.14645,1.96395,0.381417,3.3313,0.558531,0.315701,1.58835,0.89319,7.73461,0.0598849,3.43188,6.27018,0.552285,0.726005,0.553662,1.71614,4.07478,1.05867,8.05173,0.371977,0.886958,0.420981,1.11544,1.92776,0.708794,0.078755,2.92902,0.608723,1.15566,2.78766,2.28152,1.22357,1.58584,0.122022,1.48187,2.21708,0.951679,2.87757,1.22413,0.670383,1.75171,1.81681,1.02287,0.0321949
9,1226,1.91221,1.96066,0.0251661,8.05173,1.55121,1.73069,3.18676,6.38725,0.0251661,1.06961,6.14645,1.96395,0.381417,3.3313,0.558531,0.315701,1.58835,0.89319,7.73461,0.0598849,3.43188,6.27018,0.552285,0.726005,0.553662,1.71614,4.07478,1.05867,8.05173,0.371977,0.886958,0.420981,1.11544,1.92776,0.708794,0.078755,2.92902,0.608723,1.15566,2.78766,2.28152,1.22357,1.58584,0.122022,1.48187,2.21708,0.951679,2.87757,1.22413,0.670383,1.75171,1.81681,1.02287,0.0321949
