iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,BASE
0,50,6748.44,23272.8,57.8724,141743,63.3337,5269.98,104.647,514.311,211.472,179.927,1169.01,130.935,41096.8,3389.03,170.028,116.992,122.36,117.779,57426.7,150.948,254.217,97.3987,167.499,172.374,152.91,1341.24,208.448,123.717,61.3763,189.335,228.364,1407.98,9295.77,59678.7,162.148,141743,171.17,204.52,236.894,2817.39,6066.47,119.958,208.347,57.8724,213.736,185.148,103.092,657.507,138.081,90.0057,106.506,197.429,269.103,59.94
1,196,150.573,95.2139,36.1888,548.643,60.4812,90.1567,100.082,162.823,208.706,176.954,157.111,92.6941,441.035,548.643,167.139,97.6099,116.974,73.1749,36.1888,141.499,253.251,91.4082,161.959,169.619,149.996,137.842,128.519,85.1889,55.5908,184.955,226.262,147.206,58.5048,47.7979,160.128,122.57,170.504,199.496,232.63,357.321,52.1645,110.859,200.163,48.711,212.499,183.59,95.7443,156.673,127.671,84.245,100.9,139.985,147.341,56.0927
2,342,76.3051,51.2629,15.4768,213.183,39.4227,40.9514,53.7071,77.2858,132.476,109.768,62.4909,39.8085,189.005,158.365,94.1764,58.677,50.6814,62.8356,24.8397,70.0348,213.183,49.9888,68.9499,68.6566,54.3893,31.9808,55.6454,38.3034,44.3113,101.758,171.896,45.005,35.0768,29.5344,87.4301,27.4656,144.19,73.6211,134.093,186.739,34.0713,30.2342,66.1546,26.7974,188.088,139.017,31.5491,42.4014,108.115,43.8488,33.4773,55.9613,73.3229,15.4768
3,488,34.7753,21.5123,3.83902,107.438,25.6018,22.9856,28.2113,35.8386,32.546,21.3456,28.102,16.9909,68.1359,83.5258,14.7367,45.0739,42.7445,21.4728,22.5581,38.5211,103.625,34.5447,58.1496,26.8979,22.0701,18.2606,29.3872,25.0939,22.508,45.6405,61.6559,28.1347,23.7318,23.1883,22.1391,16.3295,69.9755,26.6696,31.7839,41.0845,23.8045,22.2381,56.3197,25.8326,107.438,52.4105,14.8274,27.7979,31.9863,24.2245,20.7685,28.9005,19.1179,3.83902
4,634,19.0733,6.83952,0.283798,35.9145,19.1128,19.9992,23.61,31.1117,24.2652,12.5792,21.2845,9.0231,14.5428,24.8362,12.5575,35.9097,19.9228,15.4546,20.4889,18.0356,35.9145,15.0522,22.7927,15.1782,18.0295,7.1146,23.0221,15.7431,21.675,14.6063,20.1913,17.1852,19.8544,19.446,22.6856,10.1013,17.8379,19.7359,21.394,28.2656,18.2611,10.391,17.3998,25.1533,27.4285,22.3515,9.68514,18.2125,28.9349,16.7277,20.0266,20.7744,9.47544,0.283798
5,780,17.7581,6.32549,0.0922726,35.7067,18.789,19.0766,21.8081,30.9375,23.6597,12.498,20.2107,8.99142,14.0865,19.3683,12.5622,35.7067,19.8666,15.3944,20.3669,17.401,23.3562,14.692,22.3172,13.9342,17.8874,6.80031,22.5547,15.4866,21.6455,13.7857,10.2913,17.0982,19.482,19.0339,21.5815,9.86221,13.505,18.9081,21.0981,27.4039,18.0014,10.3908,14.2439,24.8997,18.8082,21.2873,9.64791,16.6386,28.8561,16.2459,19.5332,19.1431,8.67024,0.0922726
6,926,17.5145,6.28238,0.0321949,35.6483,18.6492,18.8475,20.7658,30.8685,23.5948,12.4526,19.4341,8.98875,13.937,17.4102,12.5608,35.6483,19.845,15.386,20.3597,17.3338,22.1118,14.5231,22.1778,13.5145,17.8374,6.786,22.2869,15.3796,21.6241,13.6933,9.9334,17.0809,19.3218,18.9877,20.9968,9.80245,12.8952,18.698,21.0781,27.3685,17.8978,10.3905,14.0803,24.7734,18.2879,20.8036,9.641,16.4773,28.8293,16.063,19.3019,18.4015,8.56843,0.0321949
7,1026,17.5145,6.28238,0.0321949,35.6483,18.6492,18.8475,20.7658,30.8685,23.5948,12.4526,19.4341,8.98875,13.937,17.4102,12.5608,35.6483,19.845,15.386,20.3597,17.3338,22.1118,14.5231,22.1778,13.5145,17.8374,6.786,22.2869,15.3796,21.6241,13.6933,9.9334,17.0809,19.3218,18.9877,20.9968,9.80245,12.8952,18.698,21.0781,27.3685,17.8978,10.3905,14.0803,24.7734,18.2879,20.8036,9.641,16.4773,28.8293,16.063,19.3019,18.4015,8.56843,0.0321949
8,1126,17.5145,6.28238,0.0321949,35.6483,18.6492,18.8475,20.7658,30.8685,23.5948,12.4526,19.4341,8.98875,13.937,17.4102,12.5608,35.6483,19.845,15.386,20.3597,17.3338,22.1118,14.5231,22.1778,13.5145,17.8374,6.786,22.2869,15.3796,21.6241,13.6933,9.9334,17.0809,19.3218,18.9877,20.9968,9.80245,12.8952,18.698,21.0781,27.3685,17.8978,10.3905,14.0803,24.7734,18.2879,20.8036,9.641,16.4773,28.8293,16.063,19.3019,18.4015,8.56843,0.0321949
9,1226,17.5145,6.28238,0.0321949,35.6483,18.6492,18.8475,20.7658,30.8685,23.5948,12.4526,19.4341,8.98875,13.937,17.4102,12.5608,35.6483,19.845,15.386,20.3597,17.3338,22.1118,14.5231,22.1778,13.5145,17.8374,6.786,22.2869,15.3796,21.6241,13.6933,9.9334,17.0809,19.3218,18.9877,20.9968,9.80245,12.8952,18.698,21.0781,27.3685,17.8978,10.3905,14.0803,24.7734,18.2879,20.8036,9.641,16.4773,28.8293,16.063,19.3019,18.4015,8.56843,0.0321949
