iteration,total_runs,obs_realization,par_realization,DD,TR,STOR
0,50,0,0,52.9746,0,0
0,50,1,1,5253.38,0,0
0,50,2,2,51.1812,0,0
0,50,3,3,559.853,0,0
0,50,4,4,183.833,0,0
0,50,5,5,183.177,0,0
0,50,6,6,1007.14,0,0
0,50,7,7,130.458,0,0
0,50,8,8,41380.7,0,0
0,50,9,9,3304.1,0,0
0,50,10,10,172.089,0,0
0,50,11,11,85.4163,0,0
0,50,12,12,120.557,0,0
0,50,13,13,120.005,0,0
0,50,14,14,58450.1,0,0
0,50,15,15,126.5,0,0
0,50,16,16,199.945,0,0
0,50,17,17,109.412,0,0
0,50,18,18,150.535,0,0
0,50,19,19,146.864,0,0
0,50,20,20,149.51,0,0
0,50,21,21,1406.9,0,0
0,50,22,22,141.515,0,0
0,50,23,23,113.456,0,0
0,50,24,24,57.6765,0,0
0,50,25,25,178.297,0,0
0,50,26,26,197.043,0,0
0,50,27,27,1406.9,0,0
0,50,28,28,9205.69,0,0
0,50,29,29,60351.5,0,0
0,50,30,30,165.283,0,0
0,50,31,31,141822,0,0
0,50,32,32,194.469,0,0
0,50,33,33,160.949,0,0
0,50,34,34,184.658,0,0
0,50,35,35,2924.73,0,0
0,50,36,36,5990.35,0,0
0,50,37,37,125.023,0,0
0,50,38,38,156.673,0,0
0,50,39,39,26.9553,0,0
0,50,40,40,199.882,0,0
0,50,41,41,187.549,0,0
0,50,42,42,89.6441,0,0
0,50,43,43,643.582,0,0
0,50,44,44,96.487,0,0
0,50,45,45,60.5786,0,0
0,50,46,46,91.4436,0,0
0,50,47,47,132.668,0,0
0,50,48,48,275.353,0,0
0,50,BASE,BASE,59.94,0,0
1,196,0,0,49.1867,0.000645615,0.00935164
1,196,1,1,43.8533,1.52627,0.277872
1,196,2,2,46.1053,0.000839225,0.0161987
1,196,3,3,171.778,0.0586943,0.0159922
1,196,4,4,181.092,0.000227865,0.0204938
1,196,5,5,180.082,0.00080863,0.0167007
1,196,6,6,88.5349,0.308973,0.0933653
1,196,7,7,92.476,0.0242455,0.0321587
1,196,8,8,444.964,0.183416,2.95353
1,196,9,9,507.003,0.118587,0.00666995
1,196,10,10,169.093,7.46793e-05,0.0192919
1,196,11,11,66.3872,0.00707314,0.0131751
1,196,12,12,117.008,0.00435225,0.0231951
1,196,13,13,73.066,0.00932234,0.00410482
1,196,14,14,35.2327,1.56075,0.384818
1,196,15,15,116.889,7.10023e-07,0.0212558
1,196,16,16,199.053,0.000142687,0.0220744
1,196,17,17,103.759,0.00288343,0.0202755
1,196,18,18,144.749,0.000435393,0.0221097
1,196,19,19,144.189,0.00107554,0.0258005
1,196,20,20,146.44,0.000125181,0.0172258
1,196,21,21,157.824,0.487088,0.128574
1,196,22,22,78.7903,0.0240811,0.0229442
1,196,23,23,76.4778,0.0186549,0.0220192
1,196,24,24,52.8503,4.93135e-06,0.00595132
1,196,25,25,173.717,0.000367448,0.0205992
1,196,26,26,195.058,0.00190582,0.0196331
1,196,27,27,144.226,0.515317,0.126521
1,196,28,28,38.9993,1.76703,0.202485
1,196,29,29,31.0789,1.10642,1.37741
1,196,30,30,163.12,4.09363e-05,0.0145477
1,196,31,31,113.491,2.93097,2.36224
1,196,32,32,193.726,5.81686e-06,0.0191077
1,196,33,33,156.233,8.27547e-05,0.019972
1,196,34,34,180.715,0.00130561,0.0218461
1,196,35,35,363.44,0.20338,0.0159878
1,196,36,36,44.5029,1.60729,0.233815
1,196,37,37,115.811,0.000433897,0.012136
1,196,38,38,149.382,1.70724e-05,0.0267398
1,196,39,39,18.7704,0.000125701,0.00405746
1,196,40,40,198.639,0.00235582,0.0189707
1,196,41,41,185.948,4.45992e-05,0.0249454
1,196,42,42,83.081,0.000650164,0.0166812
1,196,43,43,121.517,0.229476,0.100773
1,196,44,44,86.0268,0.00487125,0.0271314
1,196,45,45,55.3613,0.00186504,0.0102562
1,196,46,46,85.9647,7.07161e-05,0.0151321
1,196,47,47,84.2885,0.0301018,0.0417169
1,196,48,48,147.139,0.0212344,0.015284
1,196,BASE,BASE,56.0927,0.000556897,0.0123561
2,342,0,0,22.6279,0.0390185,0.885689
2,342,1,1,11.6811,2.01305,2.59326
2,342,2,2,14.9555,0.128197,1.64013
2,342,3,3,57.1564,1.20628,1.11322
2,342,4,4,105.788,0.194709,1.32628
2,342,5,5,109.486,0.20613,1.121
2,342,6,6,48.552,1.88398,2.97417
2,342,7,7,45.8331,0.197854,2.00179
2,342,8,8,154.74,3.18819,1.68033
2,342,9,9,165.96,3.65576,0.232952
2,342,10,10,92.4141,0.127629,1.25557
2,342,11,11,26.2058,0.332291,1.29187
2,342,12,12,38.8987,0.00465792,1.63533
2,342,13,13,45.0868,0.473001,0.658686
2,342,14,14,18.37,1.88005,0.00819632
2,342,15,15,50.4533,0.0298997,1.55169
2,342,16,16,162.519,0.308451,1.28299
2,342,17,17,38.6563,0.0338309,1.6274
2,342,18,18,43.8472,0.0473495,1.5153
