iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,BASE
0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,196,0.434404,1.01074,0.00418316,5.29321,0.00999726,1.80414,0.017038,0.0746865,0.0207217,0.0175093,0.402338,0.0564041,3.13695,0.125257,0.0193665,0.0202483,0.0275474,0.0134272,1.94557,0.0212566,0.0222171,0.0231589,0.0225451,0.0268761,0.017351,0.615661,0.0470253,0.0406742,0.00595625,0.0209666,0.0215389,0.641837,1.96951,2.48384,0.0145886,5.29321,0.0191135,0.0200548,0.0231517,0.219368,1.84111,0.0125699,0.0267569,0.00418316,0.0213265,0.02499,0.0173313,0.330248,0.0320027,0.0121212,0.0152028,0.0718187,0.0365184,0.012913
2,342,2.21301,1.35971,0.325401,5.52469,0.924708,4.60631,1.76833,2.31951,1.52099,1.32714,4.85814,2.19964,4.86852,3.88871,1.3832,1.62416,1.63999,1.13169,1.88825,1.58159,1.59144,1.66123,1.56265,1.7872,1.16253,5.52469,2.74941,2.07159,0.41406,1.58247,1.61335,5.35174,3.99451,1.76726,1.09165,2.53399,1.34923,1.51312,1.73603,4.31437,3.55438,0.925288,1.93641,0.325401,1.08287,1.74797,1.19236,5.1638,1.87832,1.51083,1.14739,3.61795,2.65779,1.00653
3,488,3.55922,1.74985,0.493132,7.68573,2.43312,7.27727,4.24502,1.89319,2.75506,2.58422,6.95822,4.90539,2.50736,2.58997,2.42899,3.04737,3.893,1.19883,1.90179,4.75621,3.17639,4.34999,4.01757,3.78896,1.98928,6.63521,4.33662,4.22399,1.38079,3.66644,3.39132,6.80917,5.30045,1.44334,1.6505,2.1204,2.49947,2.62631,3.25834,3.75234,5.26885,2.2973,4.58339,0.493132,1.91551,3.46804,2.96338,7.68573,6.09265,2.75579,2.02235,7.088,3.21475,2.32049
4,634,5.6827,2.98152,0.753625,11.038,4.30908,9.60876,7.19779,3.322,3.97766,3.36774,10.6713,7.61579,1.53799,2.41874,2.79431,5.42607,8.34414,2.40399,2.27745,9.02245,5.40891,8.8554,9.66209,6.89018,3.07036,9.99279,7.10687,7.0628,1.97702,8.89904,6.55535,10.3993,7.2486,1.71275,1.2376,2.61204,3.26372,3.93126,5.50538,5.04221,7.46502,4.57229,10.3645,0.753625,2.7435,5.56156,4.62949,10.9471,8.26682,4.88949,2.90545,11.038,5.65711,3.61211
5,780,5.97719,3.14251,0.902332,12.0986,4.68699,9.8785,8.248,3.54683,4.42249,3.56632,12.0986,7.4402,1.43965,2.50987,2.83368,5.54313,8.59794,2.37675,2.199,8.80892,7.47131,9.66184,9.91656,7.35366,3.22328,9.5182,7.77267,7.47675,2.11051,9.90032,9.03991,10.37,7.62153,1.65649,1.06813,2.60708,2.97638,4.11497,5.87888,5.70122,7.89657,4.57438,9.71589,0.902332,2.62909,6.22128,4.63201,10.7074,8.24879,5.19378,3.16636,12.0159,5.5605,3.75863
6,926,6.16194,3.28439,0.973509,13.1589,4.93024,10.1188,9.05506,3.53332,4.58173,3.68261,13.1589,7.38906,1.39448,2.7852,2.83675,5.64945,8.72305,2.41759,2.19016,8.85115,8.23947,10.1284,10.153,7.70793,3.31787,9.48272,8.1808,7.75139,2.1121,10.2886,9.45211,10.4073,7.86323,1.65886,0.973509,2.62541,2.8788,4.31758,5.98575,5.85744,8.15976,4.59069,9.66342,1.00596,2.56861,6.63312,4.68093,10.8888,8.20209,5.41878,3.33723,12.7572,5.64516,3.8655
7,1026,6.16194,3.28439,0.973509,13.1589,4.93024,10.1188,9.05506,3.53332,4.58173,3.68261,13.1589,7.38906,1.39448,2.7852,2.83675,5.64945,8.72305,2.41759,2.19016,8.85115,8.23947,10.1284,10.153,7.70793,3.31787,9.48272,8.1808,7.75139,2.1121,10.2886,9.45211,10.4073,7.86323,1.65886,0.973509,2.62541,2.8788,4.31758,5.98575,5.85744,8.15976,4.59069,9.66342,1.00596,2.56861,6.63312,4.68093,10.8888,8.20209,5.41878,3.33723,12.7572,5.64516,3.8655
8,1126,6.16194,3.28439,0.973509,13.1589,4.93024,10.1188,9.05506,3.53332,4.58173,3.68261,13.1589,7.38906,1.39448,2.7852,2.83675,5.64945,8.72305,2.41759,2.19016,8.85115,8.23947,10.1284,10.153,7.70793,3.31787,9.48272,8.1808,7.75139,2.1121,10.2886,9.45211,10.4073,7.86323,1.65886,0.973509,2.62541,2.8788,4.31758,5.98575,5.85744,8.15976,4.59069,9.66342,1.00596,2.56861,6.63312,4.68093,10.8888,8.20209,5.41878,3.33723,12.7572,5.64516,3.8655
9,1226,6.16194,3.28439,0.973509,13.1589,4.93024,10.1188,9.05506,3.53332,4.58173,3.68261,13.1589,7.38906,1.39448,2.7852,2.83675,5.64945,8.72305,2.41759,2.19016,8.85115,8.23947,10.1284,10.153,7.70793,3.31787,9.48272,8.1808,7.75139,2.1121,10.2886,9.45211,10.4073,7.86323,1.65886,0.973509,2.62541,2.8788,4.31758,5.98575,5.85744,8.15976,4.59069,9.66342,1.00596,2.56861,6.63312,4.68093,10.8888,8.20209,5.41878,3.33723,12.7572,5.64516,3.8655
